name,height,european,weight,from,position
Gerald Henderson   Jr.,1.96,FALSE,215,Duke,G
Chris Kaman,2.13,FALSE,265,Central Michigan,C
Meyers Leonard,2.16,FALSE,245,Illinois,C
Damian Lillard,1.91,FALSE,195,Weber State,G
C. J. McCollum,1.93,FALSE,200,Lehigh,G
Luis David Montero,2.01,FALSE,185,Westchester CC,G
Mason Plumlee,2.11,FALSE,235,Duke,C
Noah Vonleh,2.08,FALSE,240,Indiana,F
Trevor Booker,2.03,FALSE,228,Clemson,F
Trey Burke,1.85,FALSE,191,Michigan,G
Alec Burks,1.98,FALSE,214,Colorado,G
Dante Exum,1.98,FALSE,190,Lake Ginninderra (AUS),G
Derrick Favors,2.08,FALSE,265,Georgia Tech,F/C
Rudy Gobert,2.16,TRUE,245,France,C
Gordon Hayward,2.03,FALSE,226,Butler,G/F
Rodney Hood,2.03,FALSE,206,Duke,F
Joe Ingles,2.03,FALSE,226,Lake Ginninderra (AUS),G/F
Chris Johnson,1.98,FALSE,206,Dayton,G/F
Trey Lyles,2.08,FALSE,234,Kentucky,F
Elijah Millsap,1.98,FALSE,225,Alabama���Birmingham,G/F
Raulzinho Neto,1.88,FALSE,179,Brazil,G
Tibor Plei��,2.18,TRUE,256,Germany,C
Jeff Withey,2.13,FALSE,231,Kansas,C
Leandro Barbosa,1.91,FALSE,194,Brazil,G
Harrison Barnes,2.03,FALSE,225,North Carolina,F
Andrew Bogut,2.13,FALSE,260,Utah,C
Ian Clark,1.91,FALSE,175,Belmont,G
Stephen Curry,1.91,FALSE,190,Davidson,G
Festus Ezeli,2.11,FALSE,265,Vanderbilt,C
Draymond Green,2.01,FALSE,230,Michigan State,F
Andre Iguodala,1.98,FALSE,215,Arizona,G/F
Shaun Livingston,2.01,FALSE,192,Peoria Central HS (IL),G
Kevon Looney,2.06,FALSE,220,UCLA,F
James Michael McAdoo,2.06,FALSE,240,North Carolina,F
Brandon Rush,1.98,FALSE,220,Kansas,G/F
Marreese Speights,2.08,FALSE,255,Florida,F/C
Jason Thompson,2.11,FALSE,250,Rider,F/C
Klay Thompson,2.01,FALSE,215,Washington State,G
Cole Aldrich,2.11,FALSE,250,Kansas,C
Jamal Crawford,1.96,FALSE,195,Michigan,G
Branden Dawson,1.98,FALSE,225,Michigan State,G/F
Blake Griffin,2.08,FALSE,251,Oklahoma,F
Wesley Johnson,2.01,FALSE,215,Syracuse,F
DeAndre Jordan,2.11,FALSE,265,Texas A&M,C
Luc Mbah a Moute,2.03,FALSE,230,UCLA,F
Chris Paul,1.83,FALSE,175,Wake Forest,G
Paul Pierce,2.01,FALSE,235,Kansas,F
Pablo Prigioni,1.91,FALSE,185,Argentina,G
J. J. Redick,1.93,FALSE,190,Duke,G
Austin Rivers,1.93,FALSE,200,Duke,G
Josh Smith,2.06,FALSE,225,Oak Hill Academy (VA),F
Lance Stephenson,1.96,FALSE,230,Cincinnati,G
C. J. Wilcox,1.96,FALSE,195,Washington,G
Brandon Bass,2.03,FALSE,250,LSU,F
Tarik Black,2.06,FALSE,250,Kansas,F/C
Anthony Brown,2.01,FALSE,211,Stanford,G/F
Kobe Bryant,1.98,FALSE,212,Lower Merion HS (PA),G
Jordan Clarkson,1.96,FALSE,185,Missouri,G
Roy Hibbert,2.18,FALSE,270,Georgetown,C
Marcelo Huertas,1.91,FALSE,185,Coppell HS (TX),G
